app_name,avg_sentiment
Ame no Marginal -Rain Marginal-,0.437
Amelia Earhart,-1.0
America's Army 3,-0.2
America's Army: Proving Grounds,0.36
American Conquest,-0.203
American Conquest - Fight Back,-0.01
American Powerhaul Train Simulator,-0.393
American Truck Simulator,0.514
Amerzone: The Explorer's Legacy,-0.387
Amigdala,-0.2
Amihailu in Dreamland,0.076
Amnesia: A Machine for Pigs,0.106
Amnesia: The Dark Descent,0.39
Amnesia™: Memories,0.426
Among Ripples,-0.162
Among the Heavens,0.413
Among the Sleep,0.137
Amphora,0.593
Ampu-Tea,-0.552
Amulet of Dreams,-0.402
Amygdala,-0.199
An Assassin in Orlandes,0.364
An Imp? A Fiend!,0.006
An Octave Higher,0.364
Anachronox,0.2
Analogue: A Hate Story,0.399
Anarcute,0.6
Ancestory,-0.19
Ancient Planet,0.193
Ancient Space,0.039
Ancient VR coaster,0.034
Ancients of Ooga,0.398
And So It Was,0.168
And Yet It Moves,-0.406
Andromedum,-0.196
Angel Express [Tokkyu Tenshi],0.572
Angelica Weaver: Catch Me When You Can - Collector’s Edition,0.0
Angels & Demigods,-0.257
Angels That Kill - The Final Cut,-0.396
Angels of Fasaria: Version 2.0,-0.247
Angle of Attack,-0.969
Angry Arrows,0.996
Angry Birds Space,0.564
Angry Video Game Nerd Adventures,-0.071
Angry Video Game Nerd II: ASSimilation,-0.0
Angvik,-0.449
Anima Gate of Memories,-0.192
Animal Gods,-0.634
Animated Puzzles,0.999
Anime Studio Simulator,0.195
Ankh - Anniversary Edition,0.381
Ankh 3: Battle of the Gods,-0.25
Anmynor Puzzles,-0.503
Anna - Extended Edition,0.169
Anna's Quest,0.982
Annie Amber,0.007
Anno 2070,-0.2
Anno 2205,0.199
Anode,0.358
Anodyne,0.596
Anomalies,0.745
Anomaly 1729,0.447
Anomaly 2,0.01
Anomaly Defenders,-0.28
Anomaly Korea,0.384
Anomaly Warzone Earth,-0.008
Anomaly Warzone Earth Mobile Campaign,0.253
Anomaly Zone,-0.628
Another Perspective,0.646
Another Star,0.567
Another World,0.405
Anoxemia,-0.013
Ant Queen,-0.6
Ant War: Domination,-0.564
Antenna,0.3
AntharioN,-0.0
Anthelion,-0.001
Anti-Opoly,-0.399
Antichamber,0.146
Antiflux,-0.116
Antihorror,-0.573
Antisquad,-0.242
Anyland,0.953
AoF Chess Club 2.0,-0.55
AoF World Online,-0.619
Aozora Meikyuu,-0.245
Apartment 666,-0.61
Apocalypse Hotel - The Post-Apocalyptic Hotel Simulator!,-0.004
Apocalypse: Party's Over,-0.002
Apollo 11 VR,0.199
Apollo4x,-0.827
Apothecarium: The Renaissance of Evil - Premium Edition,-0.999
Apotheon,0.561
Apotheon Arena,-0.546
AppGameKit Classic,-0.399
Appointment With FEAR,0.413
Approaching Blocks,0.187
Aqua Kitty - Milk Mine Defender,0.374
AquaNox,0.093
