app_name,avg_sentiment
Ancient Space,-0.315
Ancient VR coaster,0.034
Ancients of Ooga,0.331
And So It Was,0.311
And Yet It Moves,-0.187
Andromedum,-0.228
Angel Express [Tokkyu Tenshi],0.572
Angelica Weaver: Catch Me When You Can - Collector’s Edition,0.033
Angels & Demigods,-0.407
Angels That Kill - The Final Cut,-0.382
Angels of Fasaria: Version 2.0,-0.429
Angle of Attack,-0.969
Angry Arrows,0.679
Angry Birds Space,0.429
Angry Video Game Nerd Adventures,0.103
Angry Video Game Nerd II: ASSimilation,0.326
Angvik,-0.008
Anima Gate of Memories,0.012
Animal Gods,-0.309
Animated Puzzles,0.999
Anime Studio Simulator,0.372
Ankh - Anniversary Edition,0.438
Ankh 3: Battle of the Gods,-0.25
Anmynor Puzzles,-0.503
Anna - Extended Edition,-0.024
Anna's Quest,0.71
Annie Amber,0.283
Anno 2070,-0.185
Anno 2205,-0.004
Anode,0.516
Anodyne,0.282
Anomalies,0.745
Anomaly 1729,0.558
Anomaly 2,0.295
Anomaly Defenders,-0.02
Anomaly Korea,0.265
Anomaly Warzone Earth,0.253
Anomaly Warzone Earth Mobile Campaign,0.242
Anomaly Zone,-0.717
Another Perspective,0.43
Another Star,0.56
Another World,0.378
Anoxemia,-0.224
Ant Queen,-0.154
Ant War: Domination,-0.236
Antenna,0.07
AntharioN,-0.006
Anthelion,-0.001
Anti-Opoly,-0.396
Antichamber,0.537
Antiflux,-0.116
Antihorror,-0.548
Antisquad,-0.51
Anyland,0.852
AoF Chess Club 2.0,-0.49
AoF World Online,-0.647
Aozora Meikyuu,-0.066
Apartment 666,-0.458
Apocalypse Hotel - The Post-Apocalyptic Hotel Simulator!,-0.326
Apocalypse: Party's Over,0.153
Apollo 11 VR,0.611
Apollo4x,-0.557
Apothecarium: The Renaissance of Evil - Premium Edition,-0.508
Apotheon,0.587
Apotheon Arena,0.106
AppGameKit Classic,0.358
Appointment With FEAR,-0.005
Approaching Blocks,0.03
Aqua Kitty - Milk Mine Defender,0.541
AquaNox,-0.135
AquaSnap Window Manager,0.679
Aquadelic GT,0.371
Aquaria,0.616
Ara Fell: Enhanced Edition,0.56
Aragami,0.591
Arcadecraft,-0.532
Arcana Heart 3 LOVE MAX!!!!!,0.43
Arcane Sorcery,0.053
ArcaniA,-0.447
ArcaniA: Fall of Setarrif,-0.615
Arcanum,0.412
Archeblade,0.078
Archibald's Adventures,0.58
Archimedes,0.19
Archon:Classic,0.182
Arclight Cascade,0.332
Arctic Adventure,-0.318
Arctic Trucker Simulator,-0.671
Arctic alive,-0.35
Area-X,0.8
Arena Wars 2,-0.575
Ares Omega,-0.715
Arevan,-0.305
Aritana and the Harpy's Feather,0.822
Arizona Sunshine,0.471
Arkham Nightmares,-0.977
Arkhelom 3D,-0.027
Arkshot,0.617
Arma 2,0.081
Arma 2: Operation Arrowhead,0.418
Arma 3,0.47
Arma Tactics,-0.63
Arma: Cold War Assault,-0.002
Arma: Combat Operations,0.026
Arma: Gold Edition,0.027
Armada 2526,-0.42
Armada 2526 Gold Edition,-0.419
Armed and Dangerous,0.427
Armello,0.424
Armikrog,-0.443
Armor Clash,0.107
Armored Fist 3,0.014
Armored Hunter GUNHOUND EX,0.154
Arms Dealer,-0.374
Army of Pixels,0.456
Army of Tentacles: (Not) A Cthulhu Dating Sim,-0.267
Arson & Plunder: Unleashed,-0.112
ArsonVille,-0.193
ArtRage 4,0.688
Artemis Spaceship Bridge Simulator,0.559
Artifact Adventure,0.162
Artificial Defense,0.581
Arvale,0.426
Arx Fatalis,0.28
Ascendant,0.344
Ascension,0.031
Ascension to the Throne,-0.036
Ascent - The Space Game,-0.055
Asdivine Hearts,0.066
Aselia the Eternal -The Spirit of Eternity Sword-,0.569
Asemblance,0.039
Aseprite,0.897
Ashes of Immortality,0.28
Ashes of Immortality II,-0.0
Ashes of the Singularity: Classic,0.083
Ashes of the Singularity: Escalation,0.501
Aspectus: Rinascimento Chronicles,-0.504
Asphyxia,0.073
Assassin's Creed,0.146
Assassin's Creed Brotherhood,0.33
Assassin's Creed Freedom Cry,-0.026
Assassin's Creed II,0.5
Assassin's Creed IV Black Flag,0.456
Assassin's Creed Liberation,-0.339
Assassin's Creed Revelations,0.157
Assassin's Creed Rogue,0.285
Assassin's Creed Syndicate,-0.056
Assassin's Creed Unity,-0.257
Assassin's Creed® III,0.007
Assassins vs Pirates,0.339
Assassin’s Creed® Chronicles: China,-0.145
Assassin’s Creed® Chronicles: India,-0.12
Assassin’s Creed® Chronicles: Russia,-0.38
Assault Android Cactus,0.696
Assault CorpsII,-0.481
Assault Suit Leynos,0.362
Assault on Arnhem,-0.114
Assetto Corsa,0.289
Astebreed: Definitive Edition,0.352
Asteria,-0.244
Asteroid Bounty Hunter,0.158
Asteroids Minesweeper,0.164
Astervoid 2000,0.731
Astral Breakers,-0.321
Astral Gun,0.088
Astral Heroes,0.132
Astray,0.006
Astro Duel,0.894
Astro Emporia,-0.279
Astro Lords,-0.213
Astro Lords: Oort Cloud,-0.461
Astro Tripper,-0.33
AstroPop Deluxe,0.237
Astroderps,-0.112
Astroflux,-0.033
Astroloco: Worst Contact,-0.11
Astronaut Simulator,-0.091
Astrox: Hostile Space Excavation,0.292
Atari Vault,0.211
Atlantic Fleet,0.365
Atlantic Quest Solitaire,-1.0
Atlantis 2: Beyond Atlantis,-0.265
Atlantis Sky Patrol ,1.0
Atlantis: Pearls of the Deep,0.903
Atlas Reactor,0.108
Atlas Reactor VR Character Viewer,0.736
Atom Fishing II,0.028
Atom Zombie Smasher ,0.508
Atonement 2: Ruptured by Despair,0.998
Atonement: Scourge of Time,0.433
Atriage,0.214
Attack Heroes,0.91
Attack of the Labyrinth +,-0.11
Attack on Titan / A.O.T. Wings of Freedom,-0.065
Attractio,0.419
Atulos Online,-0.016
Audio Arena,0.718
Audioshield,0.577
Audiosurf 2,0.241
Audition Online,0.085
Auditorium,0.365
Aura Kingdom,0.231
Aura: Fate of the Ages,-0.387
Auralux: Constellations,0.488
Auro: A Monster-Bumping Adventure,0.679
Aurora Nights,0.224
Auto Dealership Tycoon,-0.321
AutoTileGen,-0.1
Autobahn Police Simulator,-0.5
Automata Empire,0.234
Automobilista,0.459
Autumn,-0.292
Autumn Dream,-0.338
Autumn Park Mini Golf,-0.193
Avadon 2: The Corruption,0.384
Avadon 3: The Warborn,0.667
Avadon: The Black Fortress,0.434
Avalanche 2: Super Avalanche,0.504
Avaris 2,-0.718
Avencast,-0.143
Avernum 2: Crystal Souls,0.444
Avernum 4,0.485
Avernum 5,0.338
Avernum 6,0.526
Avernum: Escape From the Pit,0.475
Aveyond 3-1: Lord of Twilight,-0.006
Aveyond 3-2: Gates of Night,0.12
Aveyond 3-3: The Lost Orb,-0.2
Aveyond 3-4: The Darkthrop Prophecy,-0.421
Aveyond 4: Shadow of the Mist,0.962
Aviary Attorney,0.553
Aviator - Bush Pilot,-0.907
Avoid Sensory Overload,0.206
Awakened,-0.6
Awakening of Solutio,-1.0
Awakening: The Redleaf Forest Collector's Edition,-0.239
Awareness Rooms,0.034
Awe,0.242
Awesomenauts,0.481
Awkward Dimensions Redux,0.229
"Axe, Bow & Staff",0.415
Axel & Pixel,-0.207
Axes and Acres,0.664
